Player Name,Team
DJ Bravo,West Indies
C de Grandhomme,New Zealand
Umair Ali,United Arab Emirates
PG Fulton,New Zealand
CA Young,Ireland
CA Pujara,India
CD de Lange,United Arab Emirates
G Gambhir,India
Yasir Hameed,Pakistan
BC Lara,West Indies
DA Minors,Bermuda
A Bagai,Canada
MP Vaughan,England
AR McBrine,Ireland
K Rabada,South Africa
DF Watts,Scotland
C McAuslan,Hong Kong
GW Aldridge,New Zealand
F Mutizwa,Zimbabwe
Khurram Manzoor,Pakistan
MDK Perera,Sri Lanka
GD Drummond,Netherlands
Mohammad Asif,Pakistan
V Kohli,India
Adnan Akmal,Pakistan
K Karate,Afghanistan
RS Higgins,Zimbabwe
BB McCullum,New Zealand
JDF Vandersay,Sri Lanka
UT Yadav,India
ML Patel,Kenya
BW Hilfenhaus,Australia
PJ Ingram,New Zealand
MS Gony,India
Aamer Yamin,Pakistan
KD Karthik,India
GW Flower,Zimbabwe
VD Philander,South Africa
Hasan Ali,Pakistan
JD Nel,Scotland
Faisal Iqbal,Pakistan
CK Hooper,Canada
BB Sran,India
RE van der Merwe,South Africa
Hashmatullah Shaidi,Afghanistan
Tanbir Hayder,Bangladesh
DG Brownlie,New Zealand
WK McCallan,Ireland
Raqibul Hasan,Bangladesh
CMW Read,England
MW Machan,Scotland
D Bau,Papua New Guinea
